,Asset Name,Description,Asset Owner,Category,Hosting,Note,	Safety Impact,Business Criticality,Confidentiality,Integrity,Availability, Value,Classification,IP Address,CVE ID,CVE Name,CVSS Score,Vulnerability Severity,Hosting1,security_description,Predefined Severity,llm severity prediction
0,ABB 800xA SCADA Server,Power grid monitoring system,ABB,SCADA,Isolated Network,OPC UA without encryption (isolated control loop),High,Mission Critical,High,High,High,12,Critical,192.168.1.10,CVE-2002- 0933,Datalex PLC BookIt! Consumer before 2,7.5,HIGH,Isolated,"Datalex PLC BookIt! Consumer before 2.2 stores usernames and passwords in plaintext in a cookie, which could allow remote attackers to gain privileges via Cross-site scripting or sniffing attacks.",Isolated,Medium
1,Rockwell ControlLogix,Automotive assembly line PLC,Rockwell Automation,PLC,Isolated Network,EtherNet/IP protocol exposed (internal VLAN only),High,Mission Critical,High,High,High,12,Critical,192.168.1.20,CVE-2011- 5007,Stack-based bufefr overflow in the CmpWebServer component in 3S CoDeSys 3,10,HIGH,Isolated,"Stack-based buffer overflow in the CmpWebServer component in 3S CoDeSys 3.4 SP4 Patch 2 and earlier, as used on the ABB AC500 PLC and possibly other products, allows remote attackers to execute arbitrary code via a long URI to TCP port 8080.",Isolated,Medium
2,Schneider Electric HMI,Gas pipeline operator interface,Schneider Electric,HMI,Control Room,Default credentials (admin/schneider) – air-gapped network,Medium,Business Critical,Medium,Medium,High,9,High,192.168.2.30,CVE-2012- 0929,Multpi le bufefr overflows in Schneider Electric Modicon Quantum PLC,7.5,HIGH,Anything,Multiple buffer overflows in Schneider Electric Modicon Quantum PLC allow remote attackers to cause a denial of service via malformed requests to the (1) FTP server or (2) HTTP server.,High,High
3,Honeywell TDC3000 DCS,Petrochemical distributed control,Honeywell,SCADA,Isolated Network,"Telnet enabled (legacy system, no external access)",High,Mission Critical,High,High,High,12,Critical,192.168.1.100,CVE-2012- 0930,Cross-site scripting (XSS) vulnerability in Schneider Electric Modicon Quantum PLC,6.1,MEDIUM,Isolated,Cross-site scripting (XSS) vulnerability in Schneider Electric Modicon Quantum PLC allows remote attackers to inject arbitrary web script or HTML via unspecified vectors.,Isolated,Medium
4,Emerson Rosemount Sensor,Pressure monitoring in LNG plant,Emerson,Sensors/Actuators,Field Device,Unencrypted HART protocol (non-critical sensor),Low,Non Critical,Low,Low,Low,4,Low,192.168.1.1,CVE-2012- 0931,Schneider Electric Modicon Quantum PLC does not perform authentication,9.8,CRITICAL,Anything,"Schneider Electric Modicon Quantum PLC does not perform authentication between the Unity software and PLC, which allows remote attackers to cause a denial of service or possibly execute arbitrary code via unspecified vectors.",Medium,Medium
5,Siemens S7-1500 PLC,Process control for refinery units,Siemens,PLC,Field Device,Modbus/TCP port 502 open (air-gapped OT network),High,Mission Critical,Medium,High,High,11,Critical,192.168.1.200,CVE-2012- 3040,Cross-site scripting (XSS) vulnerability in the web server on Siemens SIMATIC S7-1200 PLCs 2,4.3,MEDIUM,Anything,Cross-site scripting (XSS) vulnerability in the web server on Siemens SIMATIC S7-1200 PLCs 2.x through 3.0.1 allows remote attackers to inject arbitrary web script or HTML via a crafted URI.,Critical,High
6,Yokogawa CENTUM VP,Nuclear reactor control system,Yokogawa,SCADA,Isolated Network,FTP server active (internal data logging only),High,Mission Critical,High,High,High,12,Critical,192.168.1.150,CVE-2012- 4605,The default configuration of the SMTP component in Websense Email Security 6,5,MEDIUM,Isolated,"The default configuration of the SMTP component in Websense Email Security 6.1 through 7.3 enables weak SSL ciphers in the ""SurfControl plc\SuperScout Email Filter\SMTP"" registry key, which makes it easier for remote attackers to obtain sensitive information by sniffing the network and then conducting a brute-force attack against encrypted session data.",Isolated,Medium
7,GE Fanuc CNC Controller,Aircraft part manufacturing,GE,PLC,Isolated Network,Port 18245/TCP open (proprietary GE-SRTP – no internet),Medium,Business Critical,Medium,Medium,Medium,8,High,192.168.1.250,CVE-2012- 4690,"Rockwell Automation Allen-Bradley MicroLogix controller 1100, 1200, 1400, and 1500",7.1,HIGH,Isolated,"Rockwell Automation Allen-Bradley MicroLogix controller 1100, 1200, 1400, and 1500; SLC 500 controller platform; and PLC-5 controller platform, when Static status is not enabled, allow remote attackers to cause a denial of service via messages that trigger modification of status bits.",Isolated,Medium
8,Mitsubishi FX5U PLC,Water treatment plant logic,Mitsubishi,PLC,Isolated Network,MELSEC protocol on port 5007 (air-gapped network),Medium,Business Critical,Medium,Medium,High,9,High,192.168.2.40,CVE-2012- 5048,APIFTP Server in Optmi alog Optima PLC 1,7.8,HIGH,Isolated,APIFTP Server in Optimalog Optima PLC 1.5.2 and earlier allows remote attackers to cause a denial of service (NULL pointer dereference and daemon crash) via a crafted packet.,Isolated,Medium
9,Phoenix Contact Switch,Substation network backbone,Phoenix Contact,Industrial Network Device,Isolated Network,SNMPv3 misconfigured (internal monitoring only),Medium,Business Critical,Medium,High,High,10,High,192.168.1.11,CVE-2012- 5049,APIFTP Server in Optmi alog Optima PLC 1,7.8,HIGH,Isolated,APIFTP Server in Optimalog Optima PLC 1.5.2 and earlier allows remote attackers to cause a denial of service (infinite loop) via a malformed packet.,Isolated,Medium
10,Bosch Rexroth Hydraulic,Steel mill hydraulic control,Bosch Rexroth,PLC,Isolated Network,SERCOS-III protocol on port 50020 (isolated network),High,Mission Critical,High,High,High,12,Critical,192.168.1.21,CVE-2013- 0699,The Galil RIO-47100 Pocket PLC allows remote atatckers to,7.1,HIGH,Isolated,"The Galil RIO-47100 Pocket PLC allows remote attackers to cause a denial of service via a session that includes ""repeated requests.""",Isolated,Medium
11,Omron NJ501 Controller,Pharmaceutical packaging line,Omron,PLC,Isolated Network,FINS protocol exposed (no external exposure),Medium,Business Critical,Medium,Medium,Medium,8,High,192.168.2.31,CVE-2013- 0700,Siemens SIMATIC S7- 1200 PLCs 2,7.8,HIGH,Isolated,Siemens SIMATIC S7-1200 PLCs 2.x and 3.x allow remote attackers to cause a denial of service (defect-mode transition and control outage) via crafted packets to TCP port 102 (aka the ISO-TSAP port).,Isolated,Medium
12,Endress+Hauser Radar,Tank level measurement sensor,Endress+Hauser,Sensors/Actuators,Field Device,HTTP interface without TLS (non-critical),Low,Non Critical,Low,Low,Low,4,Low,192.168.1.101,CVE-2013- 2761,"allow remote authenticated users to cause a denial of service (module crash) via crafetd FTP trafcfi, as demonstrated by the FileZilla FTP client",4,MEDIUM,Anything,"The Schneider Electric M340 BMXNOE01xx and BMXP3420xx PLC modules allow remote authenticated users to cause a denial of service (module crash) via crafted FTP traffic, as demonstrated by the FileZilla FTP client.",Low,Low
13,Beckhoff CX9020,Food processing PLC,Beckhoff,PLC,Isolated Network,ADS protocol on port 48898 (air-gapped OT network),Medium,Business Critical,Medium,Medium,High,9,High,192.168.1.2,CVE-2013- 2763,The Schneider Electric M340 PLC modules allow remote atatckers to cause a denial of service (resource consumption) via unspecified vectors,5,MEDIUM,Isolated,"The Schneider Electric M340 PLC modules allow remote attackers to cause a denial of service (resource consumption) via unspecified vectors.  NOTE: the vendor reportedly disputes this issue because it ""could not be duplicated"" and ""an attacker could not remotely exploit this observed behavior to deny PLC control functions.",Isolated,Medium
14,Wago 750-881 Controller,Wind turbine control,Wago,PLC,On-Site,CODESYS on port 2455 (no internet connectivity),High,Mission Critical,High,High,High,12,Critical,192.168.1.51,CVE-2013- 2780,Siemens SIMATIC S7- 1200 PLCs 2,7.8,HIGH,Anything,Siemens SIMATIC S7-1200 PLCs 2.x and 3.x allow remote attackers to cause a denial of service (defect-mode transition and control outage) via crafted packets to UDP port 161 (aka the SNMP port).,Critical,High
15,Cisco IE4000 Switch,Oil rig network infrastructure,Cisco,Industrial Network Device,DMZ,CDP/LLDP enabled (isolated OT segment),Medium,Business Critical,Medium,High,High,10,High,192.168.1.201,CVE-2013- 2784,Triangle Research International (aka Tri) Nano-10,7.8,HIGH,Anything,"Triangle Research International (aka Tri) Nano-10 PLC devices with firmware before r81 use an incorrect algorithm for bounds checking of data in Modbus/TCP packets, which allows remote attackers to cause a denial of service (networking outage) via a crafted packet to TCP port 502.",High,High
16,Allen-Bradley PanelView,Chemical plant HMI,Allen-Bradley,HMI,Control Room,FactoryTalk View ME – air-gapped network,Medium,Business Critical,Medium,Medium,High,9,High,192.168.1.151,CVE-2013- 5741,Triangle Research International (aka Tri) Nano-10,7.8,HIGH,Anything,"Triangle Research International (aka Tri) Nano-10 PLC devices with firmware r81 and earlier do not properly handle large length values in MODBUS data, which allows remote attackers to cause a denial of service (transition to the interrupt state) via a crafted packet to TCP port 502.",High,High
17,Delta ASDA-A2 Servo,Robotics motor control,Delta,PLC,Field Device,Modbus RTU over TCP (isolated cell network),High,Mission Critical,High,High,High,12,Critical,192.168.1.251,CVE-2014- 0754,Directory traversal vulnerability in SchneiderWEB on Schneider Electric Modicon PLC Ethernet modules 140CPU65x Exec before 5,10,HIGH,Anything,"Directory traversal vulnerability in SchneiderWEB on Schneider Electric Modicon PLC Ethernet modules 140CPU65x Exec before 5.5, 140NOC78x Exec before 1.62, 140NOE77x Exec before 6.2, BMXNOC0401 before 2.05, BMXNOE0100 before 2.9, BMXNOE0110x Exec before 6.0, TSXETC101 Exec before 2.04, TSXETY4103x Exec before 5.7, TSXETY5103x Exec before 5.9, TSXP57x ETYPort Exec before 5.7, and TSXP57x Ethernet Copro Exec before 5.5 allows remote attackers to visit arbitrary resources via a crafted HTTP request.",Critical,High
18,Siemens TIA Portal Workstation,PLC programming and configuration station,Siemens,Engineering Workstation,Integrated with IT,Outdated TIA Portal v15 (air-gapped network),High,Mission Critical,High,High,High,12,Critical,192.168.2.41,CVE-2014- 2246,Cross-site scripting (XSS) vulnerability in the integrated web server on Siemens SIMATIC S7- 1500 CPU PLC devices with firmware before 1,4.3,MEDIUM,Anything,Cross-site scripting (XSS) vulnerability in the integrated web server on Siemens SIMATIC S7-1500 CPU PLC devices with firmware before 1.5.0 allows remote attackers to inject arbitrary web script or HTML via unspecified vectors.,Critical,High
